player1;player2;bot_type;game_number;nodes;depth;move;cache_hits;time;cache_size;move_number;round_number
FINAL1;NOTABUG;final1;1.0;0.0;0.0; (4 , 4): -2147483648;0.0;0.0;0.0;0.0;0.0
FINAL1;NOTABUG;final1;1.0;0.0;0.0; (8 , 8): -2147483648;0.0;0.0;0.0;0.0;0.0
FINAL1;NOTABUG;final1;1.0;0.0;0.0; (1 , 4): -2147483648;0.0;0.0;0.0;0.0;0.0
FINAL1;NOTABUG;final1;1.0;307169.0;8.0; (5 , 8): 14;485.0;1132.0;73945.0;7.0;4.0
FINAL1;NOTABUG;final1;1.0;233500.0;9.0; (2 , 4): 27;562.0;666.0;54231.0;9.0;5.0
FINAL1;NOTABUG;final1;1.0;483687.0;9.0; (2 , 8): -4;762.0;1357.0;127796.0;11.0;6.0
FINAL1;NOTABUG;final1;1.0;269385.0;10.0; (0 , 2): -155;569.0;686.0;95430.0;13.0;7.0
FINAL1;NOTABUG;final1;1.0;623476.0;11.0; (0 , 6): -128;3008.0;1614.0;218194.0;15.0;8.0
FINAL1;NOTABUG;final1;1.0;284297.0;9.0; (3 , 0): -7;567.0;678.0;89733.0;17.0;9.0
FINAL1;NOTABUG;final1;1.0;673500.0;9.0; (2 , 7): -156;2435.0;281.0;236693.0;19.0;10.0
FINAL1;NOTABUG;final1;1.0;356385.0;11.0; (3 , 6): -114;722.0;341.0;122855.0;21.0;11.0
FINAL1;NOTABUG;final1;1.0;292708.0;10.0; (5 , 6): -106;1119.0;272.0;113148.0;23.0;12.0
FINAL1;NOTABUG;final1;1.0;218886.0;11.0; (6 , 2): -137;517.0;645.0;77330.0;25.0;13.0
FINAL1;NOTABUG;final1;1.0;269089.0;12.0; (3 , 1): -140;1203.0;920.0;136910.0;27.0;14.0
FINAL1;NOTABUG;final1;1.0;275961.0;11.0; (3 , 4): -139;1663.0;822.0;112170.0;29.0;15.0
FINAL1;NOTABUG;final1;1.0;345449.0;16.0; (6 , 0): -117;2681.0;945.0;215215.0;31.0;16.0
FINAL1;NOTABUG;final1;1.0;223665.0;14.0; (3 , 5): -63;3230.0;600.0;123353.0;33.0;17.0
