;player1;player2;game_number;playerId;winnerId;wonMacroFieldsP1;wonMacroFieldsP2;macroBoard;mBoard
0;FINAL1;NOTABUG;1.0;1.0;2.0;1.0;4.0; 2,0,2,1,2,-1,0,0,2; 0,0,1,0,0,0,2,0,0,2,2,2,2,1,0,2,1,0,1,0,0,0,0,0,2,1,1,1,1,0,0,0,2,0,0,0,0,1,1,0,1,2,2,0,0,1,0,1,0,0,2,1,0,1,1,0,1,0,0,0,2,2,2,2,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,1
1;FINAL1;NOTABUG;2.0;2.0;1.0;5.0;3.0; -1,2,1,1,1,1,2,2,1; 0,1,0,0,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,2,2,1,1,1,1,0,1,2,0,0,0,1,0,2,2,1,2,1,1,1,1,2,0,0,1,0,0,0,2,1,0,0,0,1,0,0,0,0,0,1,0,2,2,2,0,0,0,0,1,0,0,1,0,2,2,2,0,1,2
2;FINAL1;NOTABUG;3.0;1.0;2.0;1.0;3.0; 2,-1,1,-1,2,-1,-1,-1,2; 2,0,0,1,0,0,0,0,0,2,0,0,0,0,0,2,0,0,2,0,0,0,0,0,1,1,1,0,0,0,0,0,2,0,0,0,1,1,2,0,1,2,0,1,0,0,0,0,0,0,2,1,0,1,1,0,1,0,2,0,1,0,2,0,0,2,0,0,0,0,2,0,2,0,1,0,0,0,2,0,0
3;FINAL1;NOTABUG;4.0;2.0;1.0;4.0;2.0; 1,-1,1,-1,1,2,1,2,-1; 2,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1,1,1,1,1,2,0,0,0,0,0,2,2,0,0,1,2,2,2,2,0,0,1,0,1,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,2,0,0,0,0,0,0,2,1,1,1,2,2,2,0,1,2
4;FINAL1;NOTABUG;5.0;1.0;2.0;2.0;4.0; -1,1,2,-1,2,-1,2,1,2; 0,0,0,0,0,1,1,2,0,0,0,0,2,1,0,0,2,0,0,2,1,1,0,0,0,2,1,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,1,0,0,0,1,2,2,2,0,1,0,0,1,0,0,0,1,2,2,2,2,2,2,0,1,2,0,0,0,0,0,0,1,0,0,1,0,0
5;FINAL1;NOTABUG;6.0;2.0;1.0;4.0;3.0; -1,2,1,-1,1,2,1,2,1; 0,1,2,2,0,0,0,1,0,0,0,0,2,0,0,0,1,2,0,1,2,2,0,0,0,1,0,0,0,2,1,0,0,0,0,0,1,0,0,0,1,2,1,0,1,2,2,0,0,0,1,2,2,2,0,1,2,2,0,0,0,0,1,0,1,0,1,2,0,0,2,1,0,1,0,1,0,2,0,0,1
6;FINAL1;NOTABUG;7.0;1.0;2.0;2.0;4.0; 2,-1,1,1,2,-1,2,-1,2; 2,2,2,1,0,0,0,2,1,0,0,0,1,0,1,0,1,2,1,1,0,0,0,1,1,2,1,0,0,1,0,0,0,0,0,1,2,1,0,0,1,0,2,0,2,1,0,0,2,2,2,1,0,0,2,2,2,0,0,2,2,2,2,0,0,0,2,1,0,0,0,1,0,0,1,0,1,0,0,0,0
7;FINAL1;NOTABUG;8.0;2.0;1.0;4.0;1.0; 2,-1,-1,-1,1,-1,1,1,1; 0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,2,0,0,2,2,2,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,2,1,2,1,0,0,2,0,0,1,2,2,0,2,0,1,1,1,1,1,0,0,0,0,1,0,0,0,1,2,0,0,0,1,0,0,0,1,0,0
8;FINAL1;NOTABUG;9.0;1.0;2.0;3.0;4.0; 2,-1,2,1,2,1,1,-1,2; 0,0,1,0,1,0,0,0,0,2,2,2,2,0,0,2,2,2,1,0,1,2,0,0,0,0,0,0,2,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,1,1,2,2,2,0,0,1,2,1,1,1,0,0,2,0,0,0,1,0,2,0,2,2,1,0,2,1,0,0,0,0,2,0,0
9;FINAL1;NOTABUG;10.0;2.0;1.0;3.0;0.0; 1,-1,-1,-1,1,-1,-1,-1,1; 1,0,0,0,0,0,0,0,0,1,2,1,0,2,0,1,0,1,1,0,0,0,0,2,0,0,0,2,0,2,2,1,0,2,0,2,0,0,0,0,1,0,0,0,0,2,0,2,0,1,0,2,0,2,1,1,0,2,0,0,0,0,0,1,0,0,0,0,1,1,1,1,2,2,0,0,0,0,0,0,0
10;FINAL1;NOTABUG;11.0;1.0;2.0;1.0;3.0; 2,0,-1,0,2,0,1,0,2; 2,2,2,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,2,1,2,1,0,1,0,0,0,0,0,0,2,0,2,0,0,0,1,0,0,0,0,0,0,0,2,2,2,0,2,0,0,0,0,1,2,2,0,2,1,0,0,0,0,1,1,1,2,0,1,1,1,0,1,2,2,2,1
11;FINAL1;NOTABUG;12.0;2.0;1.0;4.0;1.0; 2,-1,1,-1,1,-1,1,1,-1; 1,2,0,1,0,0,1,0,2,0,0,0,0,2,0,0,1,0,2,2,2,2,0,2,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,1,1,1,2,0,2,0,1,0,0,2,0,0,0,0,2,1,0,0,2,0,0,1,1
12;FINAL1;NOTABUG;13.0;1.0;2.0;2.0;4.0; 1,-1,2,0,2,2,1,0,2; 0,0,1,0,0,0,2,2,2,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,2,1,0,0,2,2,2,0,0,1,2,2,1,0,0,0,0,2,1,0,0,1,0,1,0,0,2,1,2,0,1,0,0,1,0,2,0
13;FINAL1;NOTABUG;14.0;2.0;1.0;3.0;1.0; 2,-1,1,-1,1,-1,1,-1,-1; 2,0,0,0,0,2,1,1,1,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,2,1,0,0,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,2,0,0,0,0,0,0,0,0,1,1,1,0,0,2,2,0,0
14;FINAL1;NOTABUG;15.0;1.0;2.0;0.0;4.0; -1,2,0,0,2,0,0,2,2; 2,0,0,2,0,0,0,1,2,0,1,0,2,0,0,2,0,2,0,0,0,2,1,1,0,1,1,1,1,2,0,0,0,0,1,1,2,0,1,0,1,0,1,0,2,1,0,0,2,2,2,1,0,0,0,0,1,0,2,2,0,2,1,2,0,2,0,1,2,1,2,0,0,1,1,0,1,2,2,2,1
15;FINAL1;NOTABUG;16.0;2.0;1.0;3.0;0.0; -1,-1,1,-1,1,-1,1,-1,-1; 0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,1,0,0,2,0,0,0,0,0,0,0,2,0,1,1,1,0,2,0,0,0,0,2,0,0,2,0,0,0,0,1,0,1,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,2,2
16;FINAL1;NOTABUG;17.0;1.0;2.0;2.0;3.0; 2,-1,-1,-1,2,1,1,-1,2; 0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,1,0,0,0,0,1,2,2,2,1,1,1,0,0,0,1,0,1,1,0,0,2,0,2,0,0,0,2,2,2,1,1,1,2,2,1,0,0,0
17;FINAL1;NOTABUG;18.0;2.0;1.0;4.0;1.0; 1,-1,-1,1,1,-1,2,-1,1; 1,2,0,2,1,2,0,1,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,2,1,0,0,0,0,1,0,0,0,1,0,2,2,1,0,0,2,1,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,2,0,2,2,0,0,0,0,2,2,2,1,1,2,1,1,1
18;FINAL1;NOTABUG;19.0;1.0;2.0;1.0;3.0; 2,-1,-1,-1,2,1,-1,-1,2; 0,0,0,1,2,0,1,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,2,2,2,0,0,1,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,2
19;FINAL1;NOTABUG;20.0;2.0;1.0;4.0;2.0; 1,2,-1,-1,1,-1,1,2,1; 0,1,0,0,1,0,2,0,2,0,1,0,1,0,2,0,0,0,2,1,2,2,2,2,1,1,0,0,2,0,1,0,0,0,1,0,0,2,0,0,1,2,1,0,0,0,0,0,0,0,1,2,0,0,0,0,1,2,2,2,1,1,1,0,0,1,0,0,0,0,2,0,2,0,1,0,1,0,0,0,2
20;FINAL1;NOTABUG;21.0;1.0;2.0;2.0;4.0; -1,0,2,1,2,0,2,1,2; 0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,1,0,2,0,0,1,1,2,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,1,2,2,1,1,1,1,1,0,0,2,2,2,0,0,0,0,1,2,0,0,2,1,2,2,2,1,0,1,0,2,0,1,0,0,1,2,1,0,2,0
21;FINAL1;NOTABUG;22.0;2.0;1.0;4.0;3.0; 1,-1,1,2,1,2,2,-1,1; 2,0,0,0,0,0,1,0,2,1,1,1,0,2,0,1,0,0,0,0,2,0,0,0,1,0,0,2,0,0,0,0,2,0,0,0,2,0,0,1,1,1,0,0,0,2,0,0,0,0,0,2,2,2,1,1,2,0,0,0,0,0,1,0,2,0,1,0,0,0,2,1,2,1,0,1,2,0,0,0,1
22;FINAL1;NOTABUG;23.0;1.0;2.0;2.0;3.0; -1,2,-1,-1,2,1,1,2,-1; 0,0,0,0,0,2,0,1,0,0,0,2,0,2,0,0,0,0,0,0,1,2,0,0,0,1,2,0,0,1,0,0,2,0,1,0,0,0,0,0,1,2,0,1,0,2,0,0,0,0,2,0,1,0,2,0,0,0,0,0,1,0,0,1,0,0,0,1,0,2,0,2,1,1,1,2,2,2,2,1,1
23;FINAL1;NOTABUG;24.0;2.0;1.0;3.0;2.0; 1,-1,-1,2,1,2,-1,-1,1; 0,0,0,0,0,2,0,0,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,2,0,2,0,2,2,1,1,1,0,0,2,2,2,2,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,1,1,1,0,0,0,0,0,2,0,0,0
24;FINAL1;NOTABUG;25.0;1.0;2.0;0.0;3.0; 2,-1,-1,-1,2,-1,-1,-1,2; 2,0,0,0,2,0,1,0,2,2,0,0,0,1,0,2,0,2,2,0,0,0,1,1,0,2,1,0,2,1,0,0,2,1,0,0,1,0,0,0,1,2,0,1,0,1,0,0,0,0,2,1,0,0,0,0,1,0,1,1,0,2,1,2,0,2,0,1,0,0,2,0,0,0,0,0,2,1,0,2,0
25;FINAL1;NOTABUG;26.0;2.0;1.0;4.0;1.0; -1,-1,2,-1,1,-1,1,1,1; 0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,2,2,2,2,2,0,0,2,0,1,2,0,0,0,1,0,2,0,1,0,2,2,0,0,2,0,0,1,2,2,1,0,0,0,1,0,0,0,1,0,1,0,0,1,1,1,1,0,2,1,0,0,1,0,2,0,0,0,1
26;FINAL1;NOTABUG;27.0;1.0;2.0;2.0;4.0; -1,-1,1,-1,2,1,2,2,2; 0,0,2,1,0,0,0,2,0,0,0,2,0,0,2,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,2,0,1,0,2,0,0,0,1,2,1,1,0,1,0,1,0,0,2,1,1,0,0,0,1,1,0,0,0,0,2,2,2,2,0,0,0,0,0,2,0,0,0,2,2,2,0,1,2
27;FINAL1;NOTABUG;28.0;2.0;1.0;4.0;2.0; 2,1,1,-1,1,-1,2,1,-1; 1,0,1,0,0,0,1,0,2,2,2,2,1,1,1,1,2,0,0,0,2,0,2,2,1,0,0,1,0,2,0,0,1,2,1,0,0,0,0,0,1,0,0,0,0,0,2,0,1,2,0,0,0,2,0,0,2,2,1,0,1,2,0,0,2,0,0,1,0,0,0,1,2,0,0,0,1,0,0,0,1
28;FINAL1;NOTABUG;29.0;1.0;2.0;2.0;4.0; -1,1,0,0,2,1,2,2,2; 0,0,0,1,2,0,0,2,1,0,0,2,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,1,0,2,1,1,1,0,1,2,2,2,1,1,1,0,0,0,2,2,2,0,1,2,2,2,2,0,1,0,0,0,2,0,0,1,0,0,0,0,0,2
29;FINAL1;NOTABUG;30.0;2.0;1.0;3.0;2.0; 1,-1,2,-1,1,2,-1,-1,1; 0,0,1,0,1,1,2,0,1,0,0,1,0,0,0,1,2,2,0,0,1,0,0,2,1,2,2,0,0,2,0,2,1,0,0,1,0,2,0,0,1,0,0,0,0,0,0,2,1,0,0,2,2,2,0,2,2,2,0,0,1,0,2,0,2,0,1,0,1,1,0,1,0,1,2,1,0,0,1,2,1
30;FINAL1;NOTABUG;31.0;1.0;2.0;2.0;3.0; 2,1,-1,-1,2,1,-1,-1,2; 0,0,0,1,1,1,0,2,0,2,2,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,2,0,1,0,0,1,0,1,0,1,2,2,2,0,2,1,0,0,0,0,2,0,2,2,2,0,0,2,1,2,1,0,1,0,0,1,0,0,0,0,0,0,0
31;FINAL1;NOTABUG;32.0;2.0;1.0;4.0;2.0; 1,2,2,-1,1,-1,1,-1,1; 0,0,1,2,1,0,0,1,2,0,1,0,0,2,0,0,2,0,1,0,2,0,0,2,2,0,0,0,0,0,0,2,0,0,0,2,0,0,0,1,1,1,0,0,0,0,0,2,0,0,0,2,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,2,0,2,0,1,0,0,0,0,0,0
32;FINAL1;NOTABUG;33.0;1.0;2.0;3.0;3.0; 2,1,1,0,2,0,1,-1,2; 0,2,1,0,0,0,0,2,2,0,2,0,0,1,1,0,0,0,0,2,0,1,1,1,1,1,1,0,0,0,0,0,2,0,2,0,0,0,0,0,1,2,0,1,0,2,0,0,0,0,2,2,0,0,1,0,0,1,2,1,2,2,2,1,1,1,0,0,0,0,0,0,2,2,0,2,2,1,0,1,0
33;FINAL1;NOTABUG;34.0;2.0;1.0;4.0;3.0; 2,-1,-1,2,1,2,1,1,1; 0,0,0,1,2,2,0,1,1,0,0,1,1,0,0,0,0,0,2,2,2,0,0,0,2,0,0,0,2,0,2,0,0,0,0,0,0,2,0,1,1,1,0,2,0,0,2,0,0,0,0,2,2,2,1,0,2,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1,1,0,0,0,1,2,0,0,0
34;FINAL1;NOTABUG;35.0;1.0;2.0;2.0;4.0; -1,-1,2,1,2,1,2,-1,2; 0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,2,2,2,0,0,1,0,0,2,0,2,1,2,1,1,0,1,2,0,1,0,1,0,0,0,0,2,1,0,1,0,2,0,0,1,0,0,0,1,1,2,0,2,0,2,2,2,2,0,2,0,0,1,0,0,0,1
35;FINAL1;NOTABUG;36.0;2.0;1.0;4.0;0.0; -1,-1,1,-1,1,-1,1,-1,1; 0,0,2,0,1,2,1,1,1,0,2,0,0,0,0,0,0,0,0,0,2,0,1,2,2,0,0,0,2,2,1,2,0,0,0,0,0,0,0,0,1,0,1,0,2,0,2,0,0,0,1,0,2,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,1,2,0,2,0,1,2,0,0,1,0,2
36;FINAL1;NOTABUG;37.0;1.0;2.0;0.0;3.0; 2,-1,-1,-1,2,-1,-1,-1,2; 0,0,0,1,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,2,0,0,2,2,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,2,2,1,2,1,0,0,1,0,0,0
37;FINAL1;NOTABUG;38.0;2.0;1.0;3.0;2.0; 2,-1,1,2,1,-1,1,-1,-1; 0,0,2,0,1,0,1,0,0,1,2,0,1,2,0,1,0,0,2,0,0,0,0,0,1,0,2,1,2,2,0,0,0,2,0,0,2,0,2,1,1,1,1,2,0,2,2,2,2,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
38;FINAL1;NOTABUG;39.0;1.0;2.0;1.0;3.0; 2,-1,-1,-1,2,1,-1,-1,2; 0,0,0,1,2,0,1,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,2,2,2,0,0,1,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,2
39;FINAL1;NOTABUG;40.0;2.0;1.0;4.0;2.0; 2,2,-1,0,1,0,1,1,1; 2,1,2,2,2,2,1,0,0,2,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,2,2,1,0,0,0,0,1,1,0,0,0,2,0,0,1,2,1,2,2,0,0,2,1,0,0,2,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,2,1,2,2,0,0,0,0,0
40;FINAL1;NOTABUG;41.0;1.0;2.0;1.0;3.0; 2,-1,-1,1,2,-1,-1,-1,2; 2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,2,1,0,2,0,1,0,0,0,0,1,0,0,0,1,0,0,2,1,0,0,1,1,2,0,1,2,0,1,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,1,2,0,0,2,1,2,0,0,0,2,0,0,0,0,1,0,2,2,2,1,1
41;FINAL1;NOTABUG;42.0;2.0;1.0;3.0;4.0; 1,2,-1,2,1,2,-1,2,1; 0,0,0,2,1,0,0,0,1,1,1,1,0,2,0,0,0,0,0,0,0,0,0,2,0,1,2,2,2,2,2,1,0,0,0,2,0,0,0,0,1,0,0,2,1,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,1,1,1,1,0,0,2,2,2,0,0,0
42;FINAL1;NOTABUG;43.0;1.0;2.0;1.0;3.0; -1,2,-1,-1,2,-1,-1,2,1; 0,1,0,2,2,2,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,2,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,2,2,2,2,0,1,2
43;FINAL1;NOTABUG;44.0;2.0;1.0;4.0;2.0; -1,2,1,-1,1,-1,1,2,1; 0,0,0,2,0,0,0,0,1,0,0,1,2,0,0,2,1,2,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,2,1,2,1,0,1,0,1,0,0,2,0,0,0,1,2,2,0,2,0,1,1,0,0,2,0,1,0,0,2,1,0,2,0,0,1,0,2,1,1,2,0,0,0,1,2
44;FINAL1;NOTABUG;45.0;1.0;2.0;1.0;3.0; -1,2,-1,-1,2,-1,-1,2,1; 0,1,0,2,2,2,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,2,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,2,2,2,2,0,1,2
45;FINAL1;NOTABUG;46.0;2.0;1.0;4.0;1.0; 0,1,-1,2,1,0,0,1,1; 0,2,0,1,1,1,0,0,0,2,2,0,0,2,0,1,0,1,0,1,0,0,0,2,0,0,0,2,0,2,1,2,0,0,0,0,1,0,2,0,1,0,1,0,0,2,2,2,0,0,1,0,0,2,0,0,0,1,0,0,0,1,2,1,0,0,1,0,0,0,1,0,0,2,0,1,2,2,0,1,0
46;FINAL1;NOTABUG;47.0;1.0;2.0;1.0;4.0; 2,-1,1,-1,2,-1,2,-1,2; 0,0,2,0,0,0,1,0,0,0,1,2,0,0,0,0,1,0,0,0,2,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,1,2,2,2,0,0,0,2,2,2,1,0,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,1,2,0
